,BUV805-A :: CD8,BB700-A :: CD38,BYG584-A :: Pentamere HBc,APC-A :: Pentamere HBs,Alexa Fluor 700-A :: CD4,APC-Cy7-A :: Live + Dead,PE-CF594-A :: PD-1,FITC-A :: CD107,BUV563-A :: CD44,BUV737-A :: CD127
BUV805-A :: CD8,1,0.04,0.1,0,0.0004272135,0.17,0.15,0.01,0.05,0.17
BB700-A :: CD38,0.05,1,0.0018430856,0.42,0.2,0.18,0.005,0.06,0.005,1.25
BYG584-A :: Pentamere HBc,0,0.0131003568,1,0,0,0,0.9116414189,0.0059448346,0.065,0.0110353362
APC-A :: Pentamere HBs,0.0045038103,0.0018777673,0.0007257306,1,0.15,0.11,0.0207500104,0,0,0.2567133307
Alexa Fluor 700-A :: CD4,0.0431869328,0.0324235521,0.0015814535,0.1043441594,1,0.82,0.0066539361,0.0017326984,0.0000518827,1.8
APC-Cy7-A :: Live + Dead,0.1,0.01,0.0022889052,0.0237112958,0.04,1,0.02,0,0,0.15
PE-CF594-A :: PD-1,0.015,0.02,0.1,0,0,0,1,0.000308613,0,0
FITC-A :: CD107,0.02,0.1,0.08,0.06,0.02,0.1,0.1,1,0.03,0
BUV563-A :: CD44,0.04,0.02,1.25,0,0,0.000169217,1.35,0.09,1,0.35
BUV737-A :: CD127,0.05,0.01,0.05,0.0004443634,0.005,0.0166733209,0,0,0.05,1
